Name,Formula,Molecular Weight,RT [min],Area (Max.),samples,Area,count,class,species,letter,class_new,TC,DB,pqn,DB_new,sumpqn,batch
TG(4:0_18:1_16:1) +NH4,C41 H77 N O6,679.57164,16.381,178147465.012975,cbr_n119,161475888.346602,44,TG,38:2,NA,TG,38,2,13867.11782316717,2,466825.75279988,B03
TG(18:0_18:0_18:2) +NH4,C57 H109 N O6,903.82093,21.629,172634844.113934,cbr_n119,118411453.524518,54,TG,54:2,NA,TG,54,2,10168.859230007318,2,466825.75279988,B03
TG(18:1_18:1_18:1) +NH4,C57 H107 N O6,901.80519,21.35,167884228.727217,cbr_n119,105622050.465814,55,TG,54:3,NA,TG,54,3,9070.53946896446,3,466825.75279988,B03
PC(16:1_16:1),C40 H76 N O8 P,729.52735,7.557,166746004.996337,cbr_n119,132936209.618522,55,PC,32:2,NA,PC,32,2,11416.20647281044,2,216348.91350965388,B03
PE(18:1_18:1),C41 H78 N O8 P,743.54355,11.856,163523341.22932,cbr_n119,163139082.51927,55,PE,36:2,NA,PE,36,2,14009.948494615077,2,168295.23238575048,B03
PC(16:0_16:0),C40 H80 N O8 P,733.55865,11.02,153764838.473149,cbr_n119,84511192.2459049,55,PC,32:0,NA,PC,32,0,7257.595373835615,0,216348.91350965388,B03
PE(12:0p_24:2),C41 H78 N O7 P,727.54887,12.422,140303795.272289,cbr_n119,113947920.28352,55,PE,36:2p,p,PE p,36,2p,9785.542921954659,2,18135.955315582192,B03
TG(16:0_18:3_18:3) +NH4,C55 H97 N O6,867.72772,19.669,132734090.065732,cbr_n119,19137980.1438475,42,TG,52:6,NA,TG,52,6,1643.51859754145,6,466825.75279988,B03
PE(18:3_18:3),C41 H70 N O8 P,735.48108,6.521,116286323.263768,cbr_n119,72017151.2662658,55,PE,36:6,NA,PE,36,6,6184.640518927208,6,168295.23238575048,B03
TG(14:0_14:0_14:1) +NH4,C45 H87 N O6,737.65007,19.218,116177322.642784,cbr_n119,116177322.642784,43,TG,42:1,NA,TG,42,1,9976.9980395435,1,466825.75279988,B03
PE(18:3_18:2),C41 H72 N O8 P,737.49666,7.463,116087413.333542,cbr_n119,76167622.968494,55,PE,36:5,NA,PE,36,5,6541.071938539404,5,168295.23238575048,B03
TG(18:2_11:1_16:0) +NH4,C48 H89 N O6,775.66551,19.256,114726090.967431,cbr_n119,36626076.496962,29,TG,45:3,NA,TG,45,3,3145.3495836698635,3,466825.75279988,B03
TG(16:0_18:1_6:0) +NH4,C43 H83 N O6,709.61852,18.719,111016644.653262,cbr_n119,102121076.86346,55,TG,40:1,NA,TG,40,1,8769.885210692577,1,466825.75279988,B03
TG(16:1_18:1_6:0) +NH4,C43 H81 N O6,707.60274,17.507,110128368.266453,cbr_n119,105851007.957952,53,TG,40:2,NA,TG,40,2,9090.20172660852,2,466825.75279988,B03
TG(16:0_18:2_10:0) +NH4,C47 H89 N O6,763.66544,19.334,99448301.9584866,cbr_n119,99448301.9584866,55,TG,44:2,NA,TG,44,2,8540.35444358192,2,466825.75279988,B03
TG(18:1_18:3_11:1) +NH4,C50 H89 N O6,799.66543,18.538,93672673.6208154,cbr_n119,6938208.44141422,43,TG,47:5,NA,TG,47,5,595.8348018638331,5,466825.75279988,B03
TG(18:1_17:1_16:0) +NH4,C54 H103 N O6,861.77421,21.225,84739598.5648296,cbr_n119,54308174.3853391,55,TG,51:2,NA,TG,51,2,4663.8409032691625,2,466825.75279988,B03
TG(16:0_18:1_22:0) +NH4,C59 H115 N O6,933.86802,22.14,83509376.4697895,cbr_n119,83509376.4697895,54,TG,56:1,NA,TG,56,1,7171.562111862283,1,466825.75279988,B03
TG(18:2_11:1_18:0) +NH4,C50 H93 N O6,803.69638,19.958,78673037.065889,cbr_n119,18899538.8741775,55,TG,47:3,NA,TG,47,3,1623.0418984238565,3,466825.75279988,B03
TG(16:1_16:1_18:2) +NH4,C53 H97 N O6,843.72764,20.085,77478378.2460216,cbr_n119,39782537.2983682,44,TG,50:4,NA,TG,50,4,3416.41800314408,4,466825.75279988,B03
PE(18:0_18:1),C41 H80 N O8 P,745.55946,14.217,75106240.0532992,cbr_n119,50571996.8962647,55,PE,36:1,NA,PE,36,1,4342.987963677021,1,168295.23238575048,B03
LPC(18:1),C26 H52 N O7 P,521.34548,3.022,74696517.3301367,cbr_n119,67271633.7872029,55,LPC,18:1,NA,LPC,18,1,5777.10815797922,1,15217.892304528588,B03
TG(19:0_19:0_14:4) +NH4,C55 H101 N O6,871.75877,20.616,73714385.7317783,cbr_n119,71995739.2217073,34,TG,52:4,NA,TG,52,4,6182.801709754101,4,466825.75279988,B03
PE(16:0_16:1),C37 H72 N O8 P,689.49684,9.556,73377318.7070081,cbr_n119,59399438.3019679,55,PE,32:1,NA,PE,32,1,5101.065044431267,1,168295.23238575048,B03
TG(18:2_17:1_16:1) +NH4,C54 H99 N O6,857.74327,20.504,71951155.7221402,cbr_n119,13491768.2783492,54,TG,51:4,NA,TG,51,4,1158.637009366697,4,466825.75279988,B03
TG(16:1_11:1_16:0) +NH4,C46 H87 N O6,749.64986,19.117,71192773.0358469,cbr_n119,54410389.1366171,43,TG,43:2,NA,TG,43,2,4672.618832988275,2,466825.75279988,B03
TG(16:0_18:3_11:1) +NH4,C48 H87 N O6,773.64987,18.574,68930080.3005901,cbr_n119,13745989.9793429,31,TG,45:4,NA,TG,45,4,1180.4688897606209,4,466825.75279988,B03
PE(16:1_16:1),C37 H70 N O8 P,687.48136,7.872,58465096.0031436,cbr_n119,21216603.2660219,55,PE,32:2,NA,PE,32,2,1822.025197135324,2,168295.23238575048,B03
TG(16:1_16:1_18:1) +NH4,C53 H99 N O6,845.7456,19.896,58401308.9568893,cbr_n119,184812.750855818,9,TG,50:3,NA,TG,50,3,15.871225218716676,3,466825.75279988,B03
TG(16:1_18:1_17:1) +NH4,C54 H101 N O6,859.75881,20.9,57807490.3580236,cbr_n119,25280430.3391844,46,TG,51:3,NA,TG,51,3,2171.0158075202016,3,466825.75279988,B03
TG(16:1_16:1_17:1) +NH4,C52 H97 N O6,831.72785,20.435,57038342.9560433,cbr_n119,18291791.2357237,55,TG,49:3,NA,TG,49,3,1570.8501551519405,3,466825.75279988,B03
TG(12:0_18:2_18:2) +NH4,C51 H93 N O6,815.69666,19.534,56838191.7015276,cbr_n119,56838191.7015276,49,TG,48:4,NA,TG,48,4,4881.112030107198,4,466825.75279988,B03
TG(18:1_11:2_14:2) +NH4,C46 H81 N O6,743.60254,17.814,55998631.3161137,cbr_n119,28376883.0039618,31,TG,43:5,NA,TG,43,5,2436.930888564137,5,466825.75279988,B03
PI(18:1_18:3),C45 H79 O13 P,858.52303,7.344,55459551.9875752,cbr_n119,50372641.9960507,55,PI,36:4,NA,PI,36,4,4325.867897528449,4,17117.28683846071,B03
LPC(18:2),C26 H50 N O7 P,519.32988,2.348,54427733.3510089,cbr_n119,31552119.1658085,55,LPC,18:2,NA,LPC,18,2,2709.611685824701,2,15217.892304528588,B03
PE(16:1_18:3),C39 H70 N O8 P,711.48108,7.144,54105849.2490692,cbr_n119,54105849.2490692,55,PE,34:4,NA,PE,34,4,4646.465761184662,4,168295.23238575048,B03
TG(17:0_18:1_16:0) +NH4,C54 H105 N O6,863.78964,21.47,53450153.2500018,cbr_n119,38990122.416209,55,TG,51:1,NA,TG,51,1,3348.3675304187254,1,466825.75279988,B03
LPC(18:3),C26 H48 N O7 P,517.31429,1.92,51538908.765579,cbr_n119,33224377.9850688,55,LPC,18:3,NA,LPC,18,3,2853.220804900968,3,15217.892304528588,B03
TG(16:1_17:1_16:0) +NH4,C52 H99 N O6,833.74344,20.873,51525819.9613352,cbr_n119,31044678.378021,54,TG,49:2,NA,TG,49,2,2666.0340268653285,2,466825.75279988,B03
PE(12:0p_24:0),C41 H82 N O7 P,731.5803,15.645,50178694.8338928,cbr_n119,50178694.8338928,55,PE,36:0p,p,PE p,36,0p,4309.212233474509,0,18135.955315582192,B03
TG(18:1_18:1_17:1) +NH4,C56 H105 N O6,887.78955,21.223,49833428.8946697,cbr_n119,13042752.7967764,55,TG,53:3,NA,TG,53,3,1120.0767595910086,3,466825.75279988,B03
TG(18:1_18:1_20:0) +NH4,C59 H113 N O6,931.85237,21.879,49420720.8030413,cbr_n119,46992022.9468725,55,TG,56:2,NA,TG,56,2,4035.54936669261,2,466825.75279988,B03
CL(18:4_18:2_18:2_18:2),C81 H138 O17 P2,1444.93521,18.443,49369435.6064335,cbr_n119,36040492.6764369,55,CL,72:10,NA,CL,72,10,3095.0612098593297,10,21331.020442370675,B03
TG(18:1_18:1_17:0) +NH4,C56 H107 N O6,889.8052,21.513,48742594.0884003,cbr_n119,17460998.4453681,55,TG,53:2,NA,TG,53,2,1499.5038902175115,2,466825.75279988,B03
PE(12:0e_24:2),C41 H80 N O7 P,729.56466,14.052,47594947.8955887,cbr_n119,44251467.2758352,55,PE,36:2e,e,PE e,36,2e,3800.1977685044653,2,6936.1052074074105,B03
CL(18:3_18:2_14:0_22:6),C81 H136 O17 P2,1442.91928,17.92,46359591.08607,cbr_n119,29799873.2489873,55,CL,72:11,NA,CL,72,11,2559.133488537642,11,21331.020442370675,B03
PC(18:0_18:1),C44 H86 N O8 P,787.60541,13.775,45508751.8842418,cbr_n119,45262968.5442165,47,PC,36:1,NA,PC,36,1,3887.0627946736904,1,216348.91350965388,B03
CL(18:2_16:1_16:1_18:2),C77 H138 O17 P2,1396.93537,19.126,43652741.6134316,cbr_n119,11157867.4515946,55,CL,68:6,NA,CL,68,6,958.2078426125614,6,21331.020442370675,B03
TG(16:0_18:2_18:1) +NH4,C55 H103 N O6,873.77415,21.601,43434540.3610725,cbr_n119,7518886.77910419,24,TG,52:3,NA,TG,52,3,645.7019059160718,3,466825.75279988,B03
TG(16:0_12:2_11:2) +NH4,C42 H75 N O6,689.55584,17.75,43257339.8986503,cbr_n119,25649306.0386549,52,TG,39:4,NA,TG,39,4,2202.6938669446586,4,466825.75279988,B03
TG(4:0_16:0_22:5) +NH4,C45 H79 N O6,729.58705,17.3,42840957.3002941,cbr_n119,41472723.1965667,40,TG,42:5,NA,TG,42,5,3561.566651857908,5,466825.75279988,B03
CL(18:3_18:2_16:1_18:2),C79 H138 O17 P2,1420.93503,18.801,42688117.6535145,cbr_n119,25884682.9065683,55,CL,70:8,NA,CL,70,8,2222.907403427561,8,21331.020442370675,B03
PS(19:0_18:1),C43 H82 N O10 P,803.56686,9.282,42576982.2352896,cbr_n119,13582935.4706407,54,PS,37:1,NA,PS,37,1,1166.4662042394325,1,10940.62820058115,B03
TG(34:2e),C37 H68 O5,592.5037,13.386,41944710.8717343,cbr_n119,25837369.3465959,52,TG,34:2e,e,TG e,34,2e,2218.844241320272,2,3894.210998508264,B03
CL(18:3_18:2_18:2_18:2),C81 H140 O17 P2,1446.95037,18.921,41451588.0642523,cbr_n119,25332862.6229917,55,CL,72:9,NA,CL,72,9,2175.51855195306,9,21331.020442370675,B03
TG(18:2_11:4_14:3) +NH4,C46 H73 N O6,735.54027,13.593,39554297.2040674,cbr_n119,5587148.29727704,42,TG,43:9,NA,TG,43,9,479.8093667553985,9,466825.75279988,B03
TG(16:0_18:2_13:0) +NH4,C50 H95 N O6,805.71225,20.515,37821814.129483,cbr_n119,16959763.7182193,54,TG,47:2,NA,TG,47,2,1456.4591911630243,2,466825.75279988,B03
TG(16:1_17:0_16:0) +NH4,C52 H101 N O6,835.75857,21.17,37130861.948766,cbr_n119,26880000.5968402,55,TG,49:1,NA,TG,49,1,2308.38262715172,1,466825.75279988,B03
TG(19:0_18:1_16:0) +NH4,C56 H109 N O6,891.82088,21.726,36971089.9445897,cbr_n119,34705264.4780043,55,TG,53:1,NA,TG,53,1,2980.3953799446076,1,466825.75279988,B03
TG(16:0_10:3_18:1) +NH4,C47 H85 N O6,759.63409,18.44,35985140.6659668,cbr_n119,14091989.7100732,55,TG,44:4,NA,TG,44,4,1210.1824221148904,4,466825.75279988,B03
CL(18:2_16:1_18:2_18:2),C79 H140 O17 P2,1422.95083,19.27,35599348.5451389,cbr_n119,13598184.1894386,55,CL,70:7,NA,CL,70,7,1167.7757234647977,7,21331.020442370675,B03
TG(20:0_11:3_14:2) +NH4,C48 H85 N O6,771.63435,19.823,35425884.9587296,cbr_n119,16549593.7285825,53,TG,45:5,NA,TG,45,5,1421.234888438571,5,466825.75279988,B03
TG(4:0_18:2_16:1) +NH4,C41 H75 N O6,677.55623,14.556,34715151.6651645,cbr_n119,22297784.0958578,41,TG,38:3,NA,TG,38,3,1914.8741178565556,3,466825.75279988,B03
LPC(16:1),C24 H48 N O7 P,493.3144,2.13,34296687.1809433,cbr_n119,34296687.1809433,55,LPC,16:1,NA,LPC,16,1,2945.307853402846,1,15217.892304528588,B03
CL(18:2_16:1_16:1_16:1),C75 H136 O17 P2,1370.9196,18.992,33586963.5445241,cbr_n119,5360234.13738983,55,CL,66:5,NA,CL,66,5,460.32258502519517,5,21331.020442370675,B03
PI(16:0_18:3),C43 H77 O13 P,832.50747,7.229,33522329.0436242,cbr_n119,26689040.8283266,55,PI,34:3,NA,PI,34,3,2291.9835124815545,3,17117.28683846071,B03
TG(18:2_17:1_18:1) +NH4,C56 H103 N O6,885.77417,20.909,31777854.4921375,cbr_n119,9045557.70081632,54,TG,53:4,NA,TG,53,4,776.8083253657891,4,466825.75279988,B03
PE(18:0p_18:1),C41 H80 N O7 P,729.56476,15.302,31773318.2070154,cbr_n119,21511526.6397233,55,PE,36:1p,p,PE p,36,1p,1847.3524284253904,1,18135.955315582192,B03
PI(18:1_18:2),C45 H81 O13 P,860.53853,8.4,31567798.1281392,cbr_n119,22289110.4483866,55,PI,36:3,NA,PI,36,3,1914.1292481879545,3,17117.28683846071,B03
TG(15:0_11:3_14:3) +NH4,C43 H73 N O6,699.54051,15.777,29674010.5605159,cbr_n119,3525921.03836533,55,TG,40:6,NA,TG,40,6,302.7966774162966,6,466825.75279988,B03
TG(15:0_16:0_16:1) +NH4,C50 H97 N O6,807.7277,20.762,29059433.4402993,cbr_n119,18363278.0272689,55,TG,47:1,NA,TG,47,1,1576.9892497951585,1,466825.75279988,B03
LPC(16:0),C24 H50 N O7 P,495.33014,3.055,28965316.4984103,cbr_n119,7767154.22228811,55,LPC,16:0,NA,LPC,16,0,667.0224505592332,0,15217.892304528588,B03
PS(39:3),C45 H82 N O10 P,827.56675,8.38,27982884.7067055,cbr_n119,26797117.618697,55,PS,39:3,NA,PS,39,3,2301.2648584543913,3,10940.62820058115,B03
CL(18:3_16:1_16:1_20:4),C79 H136 O17 P2,1418.91949,18.307,27921558.8844783,cbr_n119,27921558.8844783,55,CL,70:9,NA,CL,70,9,2397.828869821533,9,21331.020442370675,B03
TG(18:2_12:2_12:2) +NH4,C45 H77 N O6,727.57171,17.318,27872260.5085543,cbr_n119,3172526.89662748,51,TG,42:6,NA,TG,42,6,272.44813280276924,6,466825.75279988,B03
TG(18:3_18:3_18:2) +NH4,C57 H97 N O6,891.72742,19.181,27803417.4571111,cbr_n119,1329629.69417984,53,TG,54:8,NA,TG,54,8,114.18504532885311,8,466825.75279988,B03
CL(72:12),C81 H134 O17 P2,1440.9039,17.35,26625981.7508626,cbr_n119,11218072.1131214,55,CL,72:12,NA,CL,72,12,963.3780580759624,12,21331.020442370675,B03
PI(16:0_18:2),C43 H79 O13 P,834.52293,8.257,26399640.0560325,cbr_n119,24702615.5957728,55,PI,34:2,NA,PI,34,2,2121.3946212929864,2,17117.28683846071,B03
TG(20:0_18:2_18:1) +NH4,C59 H111 N O6,929.83638,21.674,26026653.7584471,cbr_n119,14593735.2406059,55,TG,56:3,NA,TG,56,3,1253.2709875991063,3,466825.75279988,B03
TG(18:1_24:0_16:0) +NH4,C61 H119 N O6,961.89951,22.401,25705549.3147841,cbr_n119,25705549.3147841,55,TG,58:1,NA,TG,58,1,2207.523889215045,1,466825.75279988,B03
TG(18:0_12:2_11:2) +NH4,C44 H79 N O6,717.5866,18.903,25634047.0426091,cbr_n119,24654994.1263552,37,TG,41:4,NA,TG,41,4,2117.305016745286,4,466825.75279988,B03
TG(16:0_18:3_12:0) +NH4,C49 H91 N O6,789.6812,19.316,25402674.5299941,cbr_n119,21800195.5488886,36,TG,46:3,NA,TG,46,3,1872.1425430131983,3,466825.75279988,B03
TG(14:0_18:2_11:1) +NH4,C46 H85 N O6,747.63403,18.164,24695665.5559193,cbr_n119,7424176.77633232,54,TG,43:3,NA,TG,43,3,637.56846394577,3,466825.75279988,B03
TG(16:1_18:3_11:1) +NH4,C48 H85 N O6,771.63409,17.453,24530340.7586219,cbr_n119,1285695.39199551,47,TG,45:5,NA,TG,45,5,110.41208485093323,5,466825.75279988,B03
TG(16:0_16:0_16:0) +NH4,C51 H101 N O6,823.75862,21.406,23321715.29096,cbr_n119,12563712.1514814,51,TG,48:0,NA,TG,48,0,1078.9380289829253,0,466825.75279988,B03
TG(20:0_14:3_11:3) +NH4,C48 H83 N O6,769.6184,19.097,23086978.379514,cbr_n119,6718581.40293842,53,TG,45:6,NA,TG,45,6,576.9738186490516,6,466825.75279988,B03
PC(17:0_18:3),C43 H80 N O8 P,769.55849,8.915,22881282.9022439,cbr_n119,5185923.24148747,55,PC,35:3,NA,PC,35,3,445.3532310486346,3,216348.91350965388,B03
TG(4:0_16:0_16:0) +NH4,C39 H77 N O6,655.57175,17.552,22802732.4823838,cbr_n119,16052061.3334586,55,TG,36:0,NA,TG,36,0,1378.5081357656486,0,466825.75279988,B03
TG(20:0_16:0_18:1) +NH4,C57 H111 N O6,905.83697,22.493,22556004.7707276,cbr_n119,22556004.7707276,7,TG,54:1,NA,TG,54,1,1937.04941944159,1,466825.75279988,B03
TG(20:5_11:2_12:2),C46 H70 O6,718.51081,16.614,22017563.7710384,cbr_n119,12501909.2606145,38,TG,43:9,NA,TG,43,9,1073.6305618543092,9,466825.75279988,B03
TG(12:0_11:4_20:4),C46 H72 O6,720.52646,17.734,21780440.5121445,cbr_n119,17763760.1664841,19,TG,43:8,NA,TG,43,8,1525.5042578392624,8,466825.75279988,B03
TG(32:1e),C35 H66 O5,566.4883,12.89,21277599.7815613,cbr_n119,16061485.0217998,53,TG,32:1e,e,TG e,32,1e,1379.317416940035,1,3894.210998508264,B03
TG(16:1_18:3_18:3) +NH4,C55 H95 N O6,865.71208,19.058,20809522.4615318,cbr_n119,4511424.01062858,49,TG,52:7,NA,TG,52,7,387.4290393830701,7,466825.75279988,B03
TG(16:0_16:1_13:0) +NH4,C48 H93 N O6,779.69631,20.229,20644846.8523431,cbr_n119,10261031.8779125,21,TG,45:1,NA,TG,45,1,881.189999914196,1,466825.75279988,B03
PI(16:0_18:1),C43 H81 O13 P,836.53872,9.698,20516995.6726397,cbr_n119,20516995.6726397,55,PI,34:1,NA,PI,34,1,1761.944766386497,1,17117.28683846071,B03
PS(18:1_18:3),C42 H74 N O10 P,783.50204,7.508,19947183.0060508,cbr_n119,19634311.2797001,55,PS,36:4,NA,PS,36,4,1686.1421892779508,4,10940.62820058115,B03
CL(18:2_18:2_18:2_18:2),C81 H142 O17 P2,1448.96457,19.383,19563966.1204152,cbr_n119,4892863.30640212,55,CL,72:8,NA,CL,72,8,420.18602688775536,8,21331.020442370675,B03
CL(16:1_16:1_16:1_16:1),C73 H134 O17 P2,1344.90385,18.872,18643837.4111379,cbr_n119,2195693.69985503,49,CL,64:4,NA,CL,64,4,188.56030798926568,4,21331.020442370675,B03
PC(18:0_16:0),C42 H84 N O8 P,761.58959,13.585,18444314.2095126,cbr_n119,18444314.2095126,50,PC,34:0,NA,PC,34,0,1583.9484205953272,0,216348.91350965388,B03
TG(17:1_14:4_11:2) +NH4,C45 H75 N O6,725.55598,16.081,18341148.1757869,cbr_n119,3967663.90371054,53,TG,42:7,NA,TG,42,7,340.7323743429913,7,466825.75279988,B03
CL(18:3_16:1_18:2_16:1),C77 H136 O17 P2,1394.91967,18.668,18239966.6391305,cbr_n119,12284666.9814283,55,CL,68:7,NA,CL,68,7,1054.9743753951761,7,21331.020442370675,B03
TG(18:1_18:1_6:0) +NH4,C45 H85 N O6,735.63414,18.704,18002369.6045065,cbr_n119,11348996.1716606,47,TG,42:2,NA,TG,42,2,974.621466390604,2,466825.75279988,B03
PC(16:1_14:0),C38 H74 N O8 P,703.51179,7.393,17963223.3047361,cbr_n119,13806691.6076057,55,PC,30:1,NA,PC,30,1,1185.681783399401,1,216348.91350965388,B03
TG(14:0_11:3_12:2) +NH4,C40 H69 N O6,659.50984,14.34,17174678.2294811,cbr_n119,12746211.5167569,52,TG,37:5,NA,TG,37,5,1094.6105868294346,5,466825.75279988,B03
TG(16:0_18:1_21:0) +NH4,C58 H113 N O6,919.85237,22.012,16950679.6655842,cbr_n119,16950679.6655842,55,TG,55:1,NA,TG,55,1,1455.6790769955617,1,466825.75279988,B03
TG(4:0_18:3_18:0) +NH4,C43 H79 N O6,705.58705,16.916,16816600.4305364,cbr_n119,16816600.4305364,12,TG,40:3,NA,TG,40,3,1444.1647105530803,3,466825.75279988,B03
PS(39:1),C45 H86 N O10 P,831.59784,11.349,16755104.486749,cbr_n119,16412429.3825975,55,PS,39:1,NA,PS,39,1,1409.4555809123044,1,10940.62820058115,B03
CL(18:2_16:0_16:1_18:2),C77 H140 O17 P2,1398.94984,19.623,16749931.1047107,cbr_n119,859916.822579674,45,CL,68:5,NA,CL,68,5,73.8473590016129,5,21331.020442370675,B03
TG(12:0_18:3_18:2) +NH4,C51 H91 N O6,813.68042,18.833,16745940.5372066,cbr_n119,6310171.3384118,53,TG,48:5,NA,TG,48,5,541.9006535904917,5,466825.75279988,B03
TG(4:0_18:1_17:0) +NH4,C42 H81 N O6,695.603,18.015,16598078.5681489,cbr_n119,15078919.831788,55,TG,39:1,NA,TG,39,1,1294.9373438631806,1,466825.75279988,B03
PE(25:1_11:0),C41 H80 N O8 P,745.55849,10.222,16426037.1381574,cbr_n119,8233452.23172443,47,PE,36:1,NA,PE,36,1,707.0668776484484,1,168295.23238575048,B03
PI(18:3_18:2),C45 H77 O13 P,856.50742,6.302,16242082.7268857,cbr_n119,9933656.69780505,55,PI,36:5,NA,PI,36,5,853.0758942021025,5,17117.28683846071,B03
PE(10:0p_24:0),C39 H78 N O7 P,703.54911,13.455,16080740.8779362,cbr_n119,12106769.9185023,55,PE,34:0p,p,PE p,34,0p,1039.6970509769626,0,18135.955315582192,B03
PE(18:0p_18:3),C41 H76 N O7 P,725.53302,11.992,15995554.2286725,cbr_n119,13370164.8767252,55,PE,36:3p,p,PE p,36,3p,1148.19403416288,3,18135.955315582192,B03
