Name,Formula,Molecular Weight,RT [min],Area (Max.),samples,Area,count,class,species,letter,class_new,TC,DB,pqn,DB_new,sumpqn,batch
TG(16:0_16:0_18:2) +NH4,C53 H101 N O6,847.75838,21.023,647402901.747663,cbr_n119,456118337.455825,28,TG,50:2,NA,TG,50,2,39170.22405989537,2,466825.75279988,B03
PC(16:0_18:1),C42 H82 N O8 P,759.57417,11.18,605708816.351113,cbr_n119,605708816.351113,55,PC,34:1,NA,PC,34,1,52016.65467752642,1,216348.91350965388,B03
TG(16:0_18:1_18:1) +NH4,C55 H105 N O6,875.78969,21.343,543347283.322315,cbr_n119,543347283.322315,29,TG,52:2,NA,TG,52,2,46661.212852754004,2,466825.75279988,B03
TG(16:1_18:1_18:1) +NH4,C55 H103 N O6,873.77392,21.06,520736586.516904,cbr_n119,387689170.117455,20,TG,52:3,NA,TG,52,3,33293.71001350359,3,466825.75279988,B03
TG(18:0_18:1_16:0) +NH4,C55 H107 N O6,877.80536,21.646,468532549.647086,cbr_n119,468532549.647086,44,TG,52:1,NA,TG,52,1,40236.323431762605,1,466825.75279988,B03
PE(16:0_18:1),C39 H76 N O8 P,717.52793,11.715,459573213.463563,cbr_n119,433627361.023026,55,PE,34:1,NA,PE,34,1,37238.75910035758,1,168295.23238575048,B03
PC(16:0_18:2),C42 H80 N O8 P,757.55849,9.502,438829778.978337,cbr_n119,377547986.912276,55,PC,34:2,NA,PC,34,2,32422.812297364777,2,216348.91350965388,B03
TG(16:0_16:1_16:0) +NH4,C51 H99 N O6,821.74309,21.026,403134803.301447,cbr_n119,309217675.992425,54,TG,48:1,NA,TG,48,1,26554.78777604831,1,466825.75279988,B03
PC(16:0_18:3),C42 H78 N O8 P,755.54282,8.294,396862577.324359,cbr_n119,306034064.612889,55,PC,34:3,NA,PC,34,3,26281.387737471396,3,216348.91350965388,B03
PC(18:3_18:2),C44 H78 N O8 P,779.54271,7.169,374503516.901979,cbr_n119,189890097.20251,55,PC,36:5,NA,PC,36,5,16307.254156160738,5,216348.91350965388,B03
PC(16:0_16:1),C40 H78 N O8 P,731.54299,9.137,364657967.37482,cbr_n119,364657967.37482,55,PC,32:1,NA,PC,32,1,31315.851861976706,1,216348.91350965388,B03
PC(16:1_18:1),C42 H80 N O8 P,757.55852,9.253,318219086.217662,cbr_n119,153286703.914387,51,PC,34:2,NA,PC,34,2,13163.852545855805,2,216348.91350965388,B03
TG(18:1_14:4_11:2) +NH4,C46 H77 N O6,739.57135,16.579,298908842.988761,cbr_n119,91687192.0522164,14,TG,43:7,NA,TG,43,7,7873.851062731724,7,466825.75279988,B03
PE(18:1_21:1),C44 H84 N O8 P,785.58966,11.338,297158602.812573,cbr_n119,297158602.812573,55,PE,39:2,NA,PE,39,2,25519.186793539626,2,168295.23238575048,B03
TG(18:0_18:0_18:1) +NH4,C57 H111 N O6,905.83671,21.897,260509655.559945,cbr_n119,260509655.559945,54,TG,54:1,NA,TG,54,1,22371.87313048446,1,466825.75279988,B03
PE(18:0_18:3),C41 H76 N O8 P,741.52784,10.119,255185033.94129,cbr_n119,228900600.376581,55,PE,36:3,NA,PE,36,3,19657.371931606707,3,168295.23238575048,B03
PE(18:1_18:3),C41 H74 N O8 P,739.51216,8.796,252980509.83668,cbr_n119,249079624.573413,55,PE,36:4,NA,PE,36,4,21390.292610719967,4,168295.23238575048,B03
TG(16:1_18:2_18:2) +NH4,C55 H99 N O6,869.74308,20.303,245719213.236829,cbr_n119,100407913.658721,19,TG,52:5,NA,TG,52,5,8622.76333228905,5,466825.75279988,B03
PE(16:0_18:2),C39 H74 N O8 P,715.51246,9.692,217601687.707432,cbr_n119,90110393.5630647,55,PE,34:2,NA,PE,34,2,7738.4398217325415,2,168295.23238575048,B03
TG(16:1_16:1_16:1) +NH4,C51 H95 N O6,817.71215,20.082,212660775.796017,cbr_n119,112261325.003727,55,TG,48:3,NA,TG,48,3,9640.702625955264,3,466825.75279988,B03
TG(18:1_11:1_16:0) +NH4,C48 H91 N O6,777.68095,19.948,202614792.169392,cbr_n119,121688578.833859,16,TG,45:2,NA,TG,45,2,10450.289995004072,2,466825.75279988,B03
PE(16:0_18:3),C39 H72 N O8 P,713.49675,8.694,201397497.464204,cbr_n119,135283609.873757,55,PE,34:3,NA,PE,34,3,11617.794934411626,3,168295.23238575048,B03
TG(14:1_11:4_18:1) +NH4,C46 H79 N O6,741.58697,17.69,194378510.330156,cbr_n119,96227139.5137382,45,TG,43:6,NA,TG,43,6,8263.729619862055,6,466825.75279988,B03
PC(16:1_18:3),C42 H76 N O8 P,753.52716,6.87,190627879.413723,cbr_n119,190627879.413723,55,PC,34:4,NA,PC,34,4,16370.61292108524,4,216348.91350965388,B03
TG(12:0_18:2_16:0) +NH4,C49 H93 N O6,791.69658,20.093,188292609.702389,cbr_n119,181176768.097743,52,TG,46:2,NA,TG,46,2,15558.97673489967,2,466825.75279988,B03
TG(16:4_19:0_19:0) +NH4,C57 H105 N O6,899.78955,21.083,188209448.867081,cbr_n119,81932900.5412067,54,TG,54:4,NA,TG,54,4,7036.178571502868,4,466825.75279988,B03
